A_id	B_id	label	select	user_id
9	7	sad	A	1228149471
8	1	sad	A	1228149471
6	3	sad	B	1228149471
7	9	sad	B	1228149471
4	5	sad	A	1228149471
7	6	sad	A	1228149471
7	2	sad	B	1228149471
6	5	sad	A	1228149471
6	9	sad	B	1225758253
7	3	sad	B	1225758253
3	5	sad	A	1225758253
2	9	sad	A	1225758253
7	1	sad	B	1225758253
7	5	sad	A	1225758253
9	2	sad	B	1225758253
7	4	sad	A	1225758253
1	7	sad	A	1225758253
8	4	sad	A	1225758253
9	3	sad	B	1225758253
8	6	sad	A	1225758253
7	1	sad	B	1225758253
5	1	sad	B	1225758253
6	1	sad	B	1225758253
2	6	sad	B	1227102258
2	8	sad	A	1227102258
5	3	sad	B	1227102258
4	5	sad	A	1227102258
7	3	sad	A	1227102258
3	2	sad	B	1227102258
5	1	sad	A	1227102258
1	2	sad	B	1227102258
2	6	sad	B	1227102258
1	7	sad	B	1227102258
4	6	sad	B	1227102258
2	9	sad	B	1227102258
3	9	sad	A	1227102258
1	9	sad	B	1227102258
1	2	sad	B	1227102258
2	8	sad	B	1226726934
8	2	sad	A	1226726934
1	4	sad	A	1226726934
8	6	sad	A	1226726934
9	3	sad	B	1226726934
5	4	sad	B	1226726934
7	3	sad	B	1226726934
2	8	sad	B	1226726934
5	3	sad	B	1226726934
3	6	sad	A	1226726934
8	9	sad	A	1226726934
9	8	sad	B	1226726934
5	9	sad	B	1226726934
7	9	sad	A	1226726934
6	9	sad	B	1226726934
5	6	sad	A	1224971855
1	8	sad	B	1224971855
2	8	sad	B	1224971855
3	8	sad	B	1224971855
8	2	sad	A	1224971855
9	1	sad	B	1224971855
8	6	sad	A	1224971855
6	8	sad	B	1224971855
5	7	sad	B	1224971855
1	7	sad	A	1224971855
6	5	sad	A	1224971855
2	3	sad	A	1224971855
5	8	sad	B	1224971855
1	6	sad	A	1224971855
4	5	sad	A	1224971855
2	7	sad	A	1225777013
6	9	sad	A	1225777013
9	7	sad	B	1225777013
7	6	sad	A	1225777013
1	2	sad	A	1225777013
2	1	sad	B	1225777013
8	4	sad	A	1225777013
9	8	sad	B	1225777013
8	9	sad	A	1225777013
5	8	sad	B	1225777013
6	5	sad	A	1225777013
4	2	sad	B	1225777013
3	9	sad	A	1225777013
4	3	sad	B	1225777013
1	4	sad	A	1225777013
2	7	sad	A	1227808324
1	6	sad	A	1227808324
3	5	sad	A	1227808324
8	2	sad	A	1227808324
9	4	sad	A	1227808324
6	8	sad	B	1227808324
3	6	sad	A	1227808324
5	4	sad	B	1227808324
1	9	sad	A	1227808324
2	9	sad	A	1227808324
8	3	sad	A	1227808324
5	9	sad	B	1227808324
2	9	sad	A	1227808324
1	3	sad	A	1227808324
2	5	sad	A	1227808324
6	9	sad	A	1225628858
4	9	sad	B	1225628858
6	9	sad	A	1225628858
1	7	sad	B	1225628858
1	2	sad	A	1225628858
2	3	sad	B	1225628858
4	9	sad	B	1225628858
5	9	sad	A	1225628858
3	6	sad	B	1225628858
1	6	sad	A	1225628858
6	1	sad	B	1225628858
7	6	sad	B	1225628858
8	7	sad	B	1225628858
8	5	sad	B	1225628858
9	6	sad	B	1225628858
5	3	sad	B	1227020010
1	6	sad	B	1227020010
4	8	sad	A	1227020010
1	9	sad	A	1227020010
1	8	sad	B	1227020010
5	1	sad	B	1227020010
8	4	sad	B	1227020010
4	5	sad	A	1227020010
7	4	sad	B	1227020010
6	9	sad	B	1227020010
3	2	sad	B	1227020010
4	8	sad	B	1227020010
4	6	sad	A	1227020010
7	1	sad	B	1227020010
7	6	sad	A	1227020010
1	4	sad	A	1227272022
2	7	sad	B	1227272022
7	3	sad	A	1227272022
5	3	sad	A	1227272022
7	8	sad	B	1227272022
9	1	sad	B	1227272022
3	2	sad	B	1227272022
3	1	sad	B	1227272022
6	4	sad	A	1227272022
6	7	sad	A	1227272022
5	2	sad	A	1227272022
1	6	sad	A	1227272022
5	8	sad	B	1227272022
8	1	sad	A	1227272022
2	4	sad	A	1227272022
8	2	sad	A	1227584227
2	4	sad	A	1227584227
3	7	sad	B	1227584227
7	3	sad	B	1227584227
5	3	sad	B	1227584227
2	5	sad	A	1227584227
1	2	sad	A	1227584227
9	5	sad	A	1227584227
1	4	sad	A	1227584227
7	9	sad	B	1227584227
7	5	sad	A	1227584227
8	7	sad	A	1227584227
2	3	sad	B	1227584227
5	1	sad	B	1227584227
7	2	sad	B	1227584227
9	2	sad	B	1228075707
5	3	sad	B	1228075707
8	9	sad	A	1228075707
1	4	sad	A	1228075707
2	5	sad	A	1228075707
6	8	sad	A	1228075707
9	5	sad	A	1228075707
9	7	sad	A	1228075707
8	2	sad	B	1228075707
8	1	sad	B	1228075707
8	7	sad	A	1228075707
5	7	sad	A	1228075707
5	3	sad	B	1228075707
2	3	sad	A	1228075707
3	1	sad	A	1228075707
4	7	sad	B	1225337740
1	8	sad	A	1225337740
5	1	sad	B	1225337740
2	7	sad	A	1225337740
1	7	sad	B	1225337740
2	3	sad	A	1225337740
1	9	sad	B	1225337740
5	9	sad	B	1225337740
1	5	sad	A	1225337740
2	6	sad	A	1225337740
2	5	sad	A	1225337740
7	5	sad	A	1225337740
6	5	sad	A	1225337740
6	8	sad	A	1225337740
9	2	sad	A	1225337740
5	4	sad	A	1227631187
5	7	sad	A	1227631187
5	3	sad	A	1227631187
6	7	sad	B	1227631187
3	2	sad	A	1227631187
4	6	sad	B	1227631187
6	2	sad	B	1227631187
1	9	sad	A	1227631187
6	5	sad	B	1227631187
3	7	sad	B	1227631187
7	3	sad	A	1227631187
8	5	sad	B	1227631187
4	7	sad	B	1227631187
5	4	sad	A	1227631187
4	2	sad	B	1227631187
8	1	sad	A	1226245362
1	6	sad	A	1226245362
7	5	sad	A	1226245362
9	5	sad	B	1226245362
2	3	sad	A	1226245362
6	7	sad	B	1226245362
5	7	sad	B	1226245362
5	4	sad	A	1226245362
2	1	sad	A	1226245362
9	8	sad	B	1226245362
8	2	sad	B	1226245362
4	7	sad	B	1226245362
6	8	sad	B	1226245362
9	7	sad	B	1226245362
5	4	sad	A	1226245362
9	3	sad	B	1228203124
1	5	sad	A	1228203124
6	1	sad	B	1228203124
2	8	sad	B	1228203124
4	7	sad	B	1228203124
7	4	sad	A	1228203124
9	3	sad	B	1228203124
5	2	sad	B	1228203124
5	4	sad	B	1228203124
1	4	sad	A	1228203124
5	3	sad	B	1228203124
1	4	sad	A	1228203124
2	6	sad	A	1228203124
5	9	sad	B	1228203124
1	7	sad	B	1228203124
1	4	sad	B	1227111123
3	2	sad	A	1227111123
9	6	sad	B	1227111123
2	4	sad	B	1227111123
5	1	sad	B	1227111123
9	3	sad	B	1227111123
1	8	sad	A	1227111123
1	6	sad	B	1227111123
7	6	sad	A	1227111123
9	2	sad	B	1227111123
2	7	sad	A	1227111123
3	7	sad	B	1227111123
9	6	sad	B	1227111123
6	2	sad	B	1227111123
9	8	sad	B	1227111123
2	7	surprise	A	1227095388
5	1	surprise	B	1227095388
3	2	surprise	B	1227095388
6	8	surprise	A	1227095388
10	4	surprise	A	1227095388
10	8	surprise	A	1227095388
7	9	surprise	A	1227095388
1	7	surprise	A	1227095388
6	3	surprise	A	1227095388
6	10	surprise	A	1227095388
5	10	surprise	B	1227095388
9	10	surprise	B	1227095388
2	3	surprise	A	1227095388
5	3	surprise	A	1227095388
1	5	surprise	A	1227095388
8	3	surprise	B	1225085888
3	6	surprise	A	1225085888
6	5	surprise	B	1225085888
5	1	surprise	A	1225085888
5	2	surprise	A	1225085888
4	1	surprise	B	1225085888
10	3	surprise	B	1225085888
10	4	surprise	A	1225085888
7	9	surprise	B	1225085888
10	1	surprise	B	1225085888
8	5	surprise	B	1225085888
4	2	surprise	A	1225085888
8	6	surprise	A	1225085888
6	9	surprise	B	1225085888
7	8	surprise	A	1225085888
8	10	surprise	B	1224953833
1	9	surprise	A	1224953833
6	7	surprise	A	1224953833
2	10	surprise	B	1224953833
2	1	surprise	A	1224953833
2	5	surprise	B	1224953833
5	1	surprise	A	1224953833
10	5	surprise	B	1224953833
9	1	surprise	B	1224953833
10	9	surprise	A	1224953833
10	9	surprise	A	1224953833
6	4	surprise	A	1224953833
1	2	surprise	B	1224953833
6	8	surprise	A	1224953833
10	4	surprise	B	1224953833
8	7	surprise	B	1227907829
6	8	surprise	A	1227907829
1	5	surprise	A	1227907829
4	10	surprise	A	1227907829
5	4	surprise	A	1227907829
3	5	surprise	B	1227907829
9	4	surprise	B	1227907829
4	6	surprise	B	1227907829
5	3	surprise	A	1227907829
5	6	surprise	A	1227907829
5	3	surprise	A	1227907829
3	7	surprise	B	1227907829
10	4	surprise	B	1227907829
2	7	surprise	B	1227907829
8	1	surprise	B	1227907829
4	8	surprise	A	1228124993
6	7	surprise	B	1228124993
6	8	surprise	A	1228124993
9	6	surprise	A	1228124993
6	3	surprise	B	1228124993
5	8	surprise	A	1228124993
1	6	surprise	A	1228124993
7	1	surprise	B	1228124993
9	2	surprise	A	1228124993
10	7	surprise	A	1228124993
9	3	surprise	B	1228124993
2	5	surprise	B	1228124993
9	7	surprise	A	1228124993
5	7	surprise	A	1228124993
1	6	surprise	A	1228124993
2	5	surprise	B	1227862148
6	8	surprise	B	1227862148
2	7	surprise	B	1227862148
1	8	surprise	B	1227862148
6	7	surprise	A	1227862148
6	4	surprise	B	1227862148
1	7	surprise	B	1227862148
8	1	surprise	A	1227862148
3	8	surprise	B	1227862148
2	9	surprise	B	1227862148
2	7	surprise	A	1227862148
10	7	surprise	B	1227862148
3	6	surprise	A	1227862148
2	1	surprise	B	1227862148
